,model_length,not_condensed_t,condensed_t
0,1245,0.0023593902587890625,0.0015075206756591797
1,2001,0.0030517578125,0.002573251724243164
2,2858,0.004530429840087891,0.0017096996307373047
3,3715,0.006030559539794922,0.0017800331115722656
4,4572,0.008126974105834961,0.0018639564514160156
5,5429,0.01012110710144043,0.002026081085205078
6,6286,0.012877702713012695,0.002095460891723633
7,7143,0.015253543853759766,0.002185821533203125
8,8000,0.01846146583557129,0.0022721290588378906
9,8857,0.0223844051361084,0.0024344921112060547
10,9714,0.025255441665649414,0.0025365352630615234
11,10571,0.03110504150390625,0.0026683807373046875
12,11428,0.03473186492919922,0.0027801990509033203
13,12285,0.03864407539367676,0.0028061866760253906
14,13142,0.04412484169006348,0.0029773712158203125
15,13999,0.049562931060791016,0.003136157989501953
16,14856,0.0524752140045166,0.0031545162200927734
17,15713,0.06034588813781738,0.0032634735107421875
18,16570,0.06748437881469727,0.0034394264221191406
19,17427,0.0713496208190918,0.0034978389739990234
20,18284,0.07624530792236328,0.003612995147705078
21,19141,0.0864570140838623,0.0036988258361816406
22,19998,0.09276294708251953,0.0038335323333740234
23,20855,0.10112762451171875,0.003936767578125
24,21712,0.10506796836853027,0.004096031188964844
25,22569,0.11424446105957031,0.0041654109954833984
26,23426,0.12528085708618164,0.004278421401977539
27,24283,0.13508868217468262,0.004382133483886719
28,25140,0.1442859172821045,0.004468441009521484
29,25997,0.1535050868988037,0.004704952239990234
30,26854,0.15681791305541992,0.004706859588623047
31,27711,0.16918230056762695,0.00482630729675293
32,28568,0.17748236656188965,0.004899263381958008
33,29425,0.19458413124084473,0.005038261413574219
34,30282,0.1974949836730957,0.005108833312988281
35,31139,0.21060633659362793,0.005432605743408203
36,31996,0.22215938568115234,0.005354166030883789
37,32853,0.23057794570922852,0.005504131317138672
38,33710,0.24465012550354004,0.0055484771728515625
39,34567,0.2664661407470703,0.005704164505004883
