,model_length,not_condensed_t,condensed_t
0,1726,0.008293390274047852,0.007476806640625
1,3451,0.014165639877319336,0.004181861877441406
2,5176,0.021176576614379883,0.0037310123443603516
3,6901,0.028819799423217773,0.0042340755462646484
4,8626,0.03868365287780762,0.004830598831176758
5,10351,0.04927706718444824,0.005398273468017578
6,12076,0.057393789291381836,0.005988359451293945
7,13801,0.07118654251098633,0.0066182613372802734
8,15526,0.09041738510131836,0.006995439529418945
9,17251,0.1015775203704834,0.007714271545410156
10,18976,0.11970233917236328,0.008321046829223633
11,20701,0.13807368278503418,0.008967876434326172
12,22426,0.15463829040527344,0.013150691986083984
13,24151,0.16654396057128906,0.009955644607543945
14,25876,0.18416142463684082,0.01062321662902832
15,27601,0.2029895782470703,0.011243104934692383
16,29326,0.21869277954101562,0.012203693389892578
17,31051,0.23904681205749512,0.012551069259643555
18,32776,0.26253342628479004,0.01318979263305664
19,34501,0.2761387825012207,0.014271974563598633
