,model_length,not_condensed_t,condensed_t
0,1245,0.0024154186248779297,0.0015420913696289062
1,2001,0.0031969547271728516,0.0026292800903320312
2,2858,0.00462651252746582,0.0017695426940917969
3,3715,0.006262063980102539,0.0018019676208496094
4,4572,0.008300304412841797,0.0019505023956298828
5,5429,0.010287046432495117,0.0021677017211914062
6,6286,0.013013839721679688,0.00212860107421875
7,7143,0.015625715255737305,0.002212047576904297
8,8000,0.0190887451171875,0.002332448959350586
9,8857,0.022562265396118164,0.0024192333221435547
10,9714,0.026239633560180664,0.0026056766510009766
11,10571,0.03017425537109375,0.002702951431274414
12,11428,0.03466939926147461,0.0027358531951904297
13,12285,0.039620161056518555,0.002931833267211914
14,13142,0.044548749923706055,0.002972841262817383
15,13999,0.04994916915893555,0.003058195114135742
16,14856,0.05278348922729492,0.0031974315643310547
17,15713,0.06117129325866699,0.0033254623413085938
18,16570,0.06702709197998047,0.0033948421478271484
19,17427,0.07218194007873535,0.0037279129028320312
