,model_length,not_condensed_reasoning_t,condensed_reasoning_t
0,1726,92.93709897994995,77.60636806488037
1,3451,107.53920006752014,53.511481046676636
2,5176,122.73647117614746,58.151204109191895
3,6901,138.25501322746277,61.37271976470947
4,8626,153.81353378295898,66.5331859588623
5,10351,171.11272883415222,70.51989889144897
6,12076,191.14405298233032,74.31856203079224
7,13801,211.14376711845398,83.30014109611511
8,15526,243.17759227752686,85.9401650428772
9,17251,265.311870098114,88.62096786499023
